Phase,Loss,Accuracy
val,0.7243526428937912,0.75
val,0.7264552712440491,0.75
val,0.7852130085229874,0.75
val,0.7466350793838501,0.75
val,0.6551036089658737,0.75
val,0.7789651528000832,0.71875
val,0.8312682434916496,0.71875
val,0.7331730201840401,0.75
val,0.7972130551934242,0.71875
val,0.7320361286401749,0.75
val,0.8264422044157982,0.71875
val,0.7821295894682407,0.71875
val,0.8453761637210846,0.71875
val,0.7856489345431328,0.71875
val,0.6971592791378498,0.78125
val,0.7058860436081886,0.75
val,0.8188803717494011,0.71875
val,0.6747689098119736,0.78125
val,0.7213038206100464,0.78125
val,0.7607552409172058,0.75
val,0.722226083278656,0.75
val,0.7130896523594856,0.75
val,0.7372048869729042,0.75
val,0.6431177221238613,0.8125
val,0.7875543683767319,0.71875
val,0.7405019700527191,0.78125
val,0.736664816737175,0.71875
val,0.7646806240081787,0.75
val,0.7435273677110672,0.75
val,0.6862778216600418,0.75
val,0.6597983837127686,0.78125
val,0.7693779841065407,0.75
val,0.7742288559675217,0.75
val,0.8106105998158455,0.71875
val,0.7089286781847477,0.78125
val,0.6721832007169724,0.78125
val,0.7094943672418594,0.8125
val,0.6116273999214172,0.8125
val,0.6724758595228195,0.78125
val,0.7637071162462234,0.75
val,0.6619744598865509,0.78125
val,0.7021309807896614,0.78125
val,0.7468347698450089,0.71875
val,0.6824259646236897,0.75
val,0.7232982665300369,0.78125
val,0.6919958591461182,0.78125
val,0.692377008497715,0.78125
val,0.6711453348398209,0.75
val,0.6521706283092499,0.78125
val,0.6993952468037605,0.78125
val,0.7270639464259148,0.75
val,0.8066419661045074,0.71875
val,0.8032906278967857,0.71875
val,0.7668909206986427,0.78125
val,0.7212609648704529,0.78125
val,0.856621041893959,0.71875
val,0.8324042186141014,0.71875
val,0.7472676038742065,0.75
val,0.8126176297664642,0.71875
val,0.8122494667768478,0.71875
val,0.827316090464592,0.75
val,0.7776962518692017,0.75
val,0.7355935908854008,0.75
val,0.812565416097641,0.71875
val,0.798017606139183,0.75
val,0.8230597376823425,0.75
val,0.8224650472402573,0.71875
val,0.7600352317094803,0.75
val,0.683591678738594,0.78125
val,0.6840447634458542,0.8125
val,0.7684282213449478,0.75
val,0.7047324776649475,0.78125
val,0.7211977690458298,0.78125
val,0.6821509897708893,0.78125
val,0.7118875533342361,0.78125
val,0.7989932298660278,0.75
val,0.8353796005249023,0.6875
val,0.7265207022428513,0.75
val,0.7555203959345818,0.75
val,0.7234686315059662,0.75
val,0.7263219729065895,0.75
val,0.7074864879250526,0.75
val,0.8380138874053955,0.71875
val,0.6373899132013321,0.78125
val,0.7108868211507797,0.78125
val,0.6196290850639343,0.8125
val,0.6543395966291428,0.8125
val,0.6926100477576256,0.78125
val,0.6794585436582565,0.78125
val,0.7174419537186623,0.75
val,0.6864781752228737,0.78125
val,0.6772918403148651,0.78125
val,0.7480873689055443,0.75
val,0.7192990481853485,0.75
val,0.6881296336650848,0.75
val,0.7535507529973984,0.71875
val,0.7362786456942558,0.75
val,0.6762701272964478,0.78125
val,0.7531697824597359,0.75
val,0.6807353496551514,0.75
val,0.6903225257992744,0.78125
val,0.8047472611069679,0.75
val,0.8239652700722218,0.71875
val,0.8158496022224426,0.71875
val,0.7009862624108791,0.78125
val,0.635900042951107,0.78125
val,0.6507238745689392,0.8125
val,0.7833492159843445,0.78125
val,0.7599715888500214,0.75
val,0.7633267492055893,0.71875
val,0.7250595018267632,0.75
val,0.7097318470478058,0.78125
val,0.7291348576545715,0.78125
val,0.741885170340538,0.78125
val,0.7121856212615967,0.78125
val,0.7882902175188065,0.75
val,0.6823263391852379,0.78125
val,0.7374848872423172,0.78125
val,0.756233710795641,0.75
val,0.7074507027864456,0.75
val,0.8045322448015213,0.75
val,0.7150545194745064,0.75
val,0.6905999928712845,0.8125
val,0.7213563919067383,0.78125
val,0.7356308922171593,0.78125
val,0.6762183606624603,0.78125
val,0.6394744366407394,0.78125
val,0.8079914748668671,0.71875
val,0.6960924565792084,0.78125
val,0.7300713956356049,0.75
val,0.804224357008934,0.75
val,0.6914409548044205,0.78125
val,0.7117098309099674,0.75
val,0.7893581092357635,0.71875
val,0.723289743065834,0.71875
val,0.7445483729243279,0.75
val,0.7505448907613754,0.78125
val,0.7579168826341629,0.71875
val,0.7098125070333481,0.78125
val,0.7131947949528694,0.75
val,0.7373948618769646,0.75
val,0.7668599039316177,0.75
val,0.7841550409793854,0.75
val,0.812782883644104,0.71875
val,0.7843829691410065,0.75
val,0.778022825717926,0.75
val,0.7661822214722633,0.75
val,0.7372631877660751,0.75
val,0.7218895107507706,0.78125
val,0.7429175078868866,0.78125
val,0.7949309796094894,0.71875
val,0.6733355075120926,0.78125
val,0.6655120998620987,0.78125
val,0.747262105345726,0.78125
val,0.7575146034359932,0.75
val,0.7238790988922119,0.78125
val,0.7117072641849518,0.75
val,0.6991167962551117,0.78125
val,0.7909325882792473,0.71875
val,0.7467732131481171,0.75
val,0.7725815698504448,0.75
val,0.7662237510085106,0.75
val,0.8569341972470284,0.71875
val,0.7467431873083115,0.75
val,0.7195175141096115,0.78125
val,0.7215470522642136,0.8125
val,0.7245186790823936,0.75
val,0.720429852604866,0.75
val,0.7766199707984924,0.78125
val,0.7926862239837646,0.75
val,0.7779260277748108,0.75
val,0.7485926598310471,0.71875
val,0.6428531929850578,0.75
val,0.6557321697473526,0.78125
val,0.648108959197998,0.78125
val,0.7150904834270477,0.75
val,0.7048739492893219,0.78125
val,0.7723975330591202,0.75
val,0.7397635132074356,0.75
val,0.698160707950592,0.78125
val,0.7741948813199997,0.75
val,0.64243945479393,0.78125
val,0.6997062861919403,0.78125
val,0.7185022085905075,0.75
val,0.7879291921854019,0.71875
val,0.8160727769136429,0.71875
val,0.7265284582972527,0.75
val,0.7174800746142864,0.78125
val,0.7094961479306221,0.78125
val,0.7354200258851051,0.78125
val,0.7376484870910645,0.75
val,0.612749170511961,0.78125
val,0.6730170622467995,0.75
val,0.6644871719181538,0.78125
val,0.6722991541028023,0.8125
val,0.7594565227627754,0.75
val,0.6936670318245888,0.75
val,0.6760699190199375,0.78125
val,0.8265592828392982,0.71875
val,0.8190852850675583,0.71875
val,0.8313054442405701,0.71875
val,0.6658584550023079,0.78125
val,0.7712947055697441,0.75
val,0.7679793834686279,0.71875
val,0.7538873851299286,0.78125
val,0.7131363898515701,0.75
val,0.7231598794460297,0.75
val,0.7358180433511734,0.78125
val,0.7958213835954666,0.71875
val,0.9013743996620178,0.71875
val,0.7669735625386238,0.75
val,0.7373604066669941,0.75
val,0.7390670925378799,0.75
val,0.8420001789927483,0.75
val,0.8491532132029533,0.6875
val,0.7366340756416321,0.78125
val,0.7565052956342697,0.75
val,0.7166571170091629,0.78125
val,0.7855117917060852,0.75
val,0.7446766309440136,0.71875
val,0.7554119229316711,0.8125
val,0.7215075194835663,0.78125
val,0.6798126325011253,0.78125
val,0.667570237070322,0.78125
val,0.7544906586408615,0.75
val,0.649780485779047,0.78125
val,0.6784414499998093,0.78125
val,0.7633631974458694,0.78125
val,0.695608526468277,0.75
val,0.6848563998937607,0.75
val,0.6909217648208141,0.78125
val,0.7595894709229469,0.75
val,0.7613255605101585,0.8125
val,0.8338371217250824,0.75
val,0.698815181851387,0.78125
val,0.7969513610005379,0.75
val,0.854988232254982,0.71875
val,0.7299452498555183,0.78125
val,0.7607494667172432,0.78125
val,0.7628905475139618,0.75
val,0.6576139107346535,0.78125
val,0.6489820629358292,0.78125
val,0.6651875600218773,0.75
val,0.7094599157571793,0.78125
val,0.7014964297413826,0.78125
val,0.7468079254031181,0.75
val,0.7042845040559769,0.78125
val,0.7976359501481056,0.75
val,0.7168109975755215,0.78125
val,0.7233137004077435,0.75
val,0.7908719405531883,0.75
val,0.6911008059978485,0.78125
val,0.7071728333830833,0.75
val,0.7648670375347137,0.75
val,0.6933132447302341,0.78125
val,0.7190060988068581,0.78125
val,0.7351991906762123,0.75
val,0.7362743839621544,0.75
val,0.6814194843173027,0.78125
val,0.7782184332609177,0.78125
val,0.7203577980399132,0.75
val,0.719431109726429,0.78125
val,0.693765327334404,0.78125
val,0.7545313313603401,0.75
val,0.749199815094471,0.75
val,0.7697560638189316,0.75
val,0.6324777230620384,0.78125
val,0.7053269520401955,0.75
val,0.6709545105695724,0.78125
val,0.7647808790206909,0.75
val,0.7116093635559082,0.78125
val,0.7281960472464561,0.75
val,0.8231819570064545,0.71875
val,0.7765117436647415,0.75
val,0.7595516741275787,0.71875
val,0.7181550040841103,0.75
val,0.6941833794116974,0.8125
val,0.73061203956604,0.78125
val,0.8230317682027817,0.71875
val,0.8156818822026253,0.6875
val,0.7384326159954071,0.75
val,0.793261706829071,0.71875
val,0.7375462800264359,0.75
val,0.8076907247304916,0.71875
val,0.7718266695737839,0.75
val,0.6656866073608398,0.78125
val,0.7463595196604729,0.75
val,0.6428156495094299,0.78125
val,0.6774393394589424,0.78125
val,0.6994886919856071,0.78125
val,0.7772824093699455,0.75
val,0.8121009320020676,0.6875
val,0.8120030909776688,0.71875
val,0.7153366208076477,0.78125
val,0.7902392148971558,0.75
val,0.7820824906229973,0.71875
val,0.7345095574855804,0.75
