,time,open,high,low,close,volume,ticker
460,2020-01-02,10970,11350,10920,11350,1569270,POW
461,2020-01-03,11350,11450,11110,11160,1245410,POW
462,2020-01-06,11110,11160,10830,10830,2064670,POW
463,2020-01-07,10870,10920,10680,10730,1893960,POW
464,2020-01-08,10680,10680,10020,10250,5339280,POW
465,2020-01-09,10350,10590,10300,10400,2226540,POW
466,2020-01-10,10440,10640,10300,10590,1461150,POW
467,2020-01-13,10590,10590,10490,10490,1298370,POW
468,2020-01-14,10590,10590,10400,10400,1438620,POW
469,2020-01-15,10400,10400,10300,10400,1119580,POW
470,2020-01-16,10490,10540,10400,10490,1479520,POW
471,2020-01-17,10540,10540,10300,10300,1629430,POW
472,2020-01-20,10300,10400,10160,10210,1136080,POW
473,2020-01-21,10400,10680,10400,10400,2980510,POW
474,2020-01-22,10490,10640,10440,10590,1844340,POW
475,2020-01-30,10490,10830,10490,10590,3263130,POW
476,2020-01-31,10590,10680,10020,10020,2556250,POW
477,2020-02-03,9440,9730,9320,9530,3839880,POW
478,2020-02-04,9630,9730,9060,9060,3640180,POW
479,2020-02-05,9160,9250,9030,9130,2301300,POW
480,2020-02-06,9170,9590,9120,9590,2202420,POW
481,2020-02-07,9590,9630,9430,9450,1520380,POW
482,2020-02-10,9250,9350,9200,9230,1441160,POW
483,2020-02-11,9270,9500,9250,9400,1775070,POW
484,2020-02-12,9480,10060,9440,10060,3050250,POW
485,2020-02-13,10210,10440,9870,10060,3076810,POW
486,2020-02-14,10020,10060,9820,9920,1156570,POW
487,2020-02-14,10020,10060,9820,9920,1156570,POW
488,2020-02-17,9870,9970,9780,9870,2084770,POW
489,2020-02-18,9920,9970,9820,9870,1786200,POW
490,2020-02-19,9920,10110,9870,9970,1982300,POW
491,2020-02-20,10020,10440,10020,10400,4728350,POW
492,2020-02-21,10400,10440,10160,10250,1762570,POW
493,2020-02-24,9920,9970,9540,9540,3312940,POW
494,2020-02-25,9180,9520,9180,9490,3369430,POW
495,2020-02-26,9250,9920,9250,9730,2278130,POW
496,2020-02-27,9730,9870,9540,9630,1045640,POW
497,2020-02-28,9440,9520,9300,9400,2284820,POW
498,2020-03-02,9400,9530,9330,9520,1786920,POW
499,2020-03-03,9730,9780,9470,9470,2539230,POW
