time,open,high,low,close,volume,ticker
2016-01-18,3530,3600,3520,3550,325887,ACB
2016-01-19,3590,3620,3590,3610,71934,ACB
2016-01-20,3610,3620,3590,3610,195341,ACB
2016-01-21,3610,3640,3560,3610,91172,ACB
2016-01-22,3570,3570,3520,3550,29413,ACB
2016-01-25,3570,3710,3590,3650,143015,ACB
2016-01-26,3650,3690,3610,3630,43819,ACB
2016-01-27,3650,3650,3600,3630,154443,ACB
2016-01-28,3990,3940,3530,3630,29261,ACB
2016-01-29,3610,3650,3610,3630,85979,ACB
2016-02-01,3610,3650,3600,3610,158690,ACB
2016-02-02,3590,3650,3590,3630,113430,ACB
2016-02-03,3630,3640,3620,3630,80000,ACB
2016-02-04,3630,3630,3610,3630,120031,ACB
2016-02-05,3610,3690,3610,3650,59764,ACB
2016-02-15,3630,3670,3590,3630,25161,ACB
2016-02-16,3630,3760,3660,3700,114193,ACB
2016-02-17,3700,3720,3640,3670,141492,ACB
2016-02-18,3650,3720,3640,3670,65316,ACB
2016-02-19,3700,3710,3650,3670,162020,ACB
2016-02-22,3630,3710,3620,3670,93741,ACB
2016-02-23,3680,3720,3660,3670,268334,ACB
2016-02-24,3480,3920,3530,3820,613706,ACB
2016-02-25,3950,4110,3750,3780,170309,ACB
2016-02-26,3780,3820,3780,3800,54693,ACB
2016-02-29,3800,3820,3740,3760,192525,ACB
2016-03-01,3760,3770,3740,3740,140511,ACB
2016-03-02,3740,3740,3700,3720,187244,ACB
2016-03-03,3740,3750,3700,3720,209795,ACB
2016-03-04,3700,3810,3730,3760,106154,ACB
2016-03-07,3720,3830,3770,3780,168692,ACB
2016-03-08,3760,3680,3550,3630,349888,ACB
2016-03-09,3700,3730,3670,3700,72850,ACB
2016-03-10,3680,3710,3670,3680,127860,ACB
2016-03-11,3670,3750,3700,3700,38679,ACB
2016-03-14,3670,3670,3610,3650,130070,ACB
2016-03-15,3740,3740,3650,3670,75369,ACB
2016-03-16,3680,3690,3650,3670,85539,ACB
2016-03-17,3680,3690,3640,3650,51939,ACB
2016-03-18,3630,3670,3630,3650,49217,ACB
2016-03-21,3610,3660,3450,3630,48938,ACB
2016-03-22,3590,3640,3580,3610,143433,ACB
2016-03-23,3590,3610,3560,3590,349539,ACB
2016-03-24,3610,3610,3570,3570,60102,ACB
2016-03-25,3630,3580,3510,3550,28280,ACB
2016-03-28,3590,3590,3540,3550,28313,ACB
2016-03-29,3530,3550,3530,3530,72908,ACB
2016-03-30,3570,3480,3280,3380,215414,ACB
2016-03-31,3510,3540,3460,3490,104162,ACB
2016-04-01,3530,3520,3440,3490,125723,ACB
2016-04-04,3530,3550,3450,3490,69304,ACB
2016-04-05,3480,3460,3430,3440,59056,ACB
2016-04-06,3440,3430,3400,3420,164962,ACB
2016-04-07,3440,3520,3470,3480,32738,ACB
2016-04-08,3490,3570,3520,3530,51607,ACB
2016-04-11,3510,3520,3500,3510,49001,ACB
2016-04-12,3510,3500,3480,3490,71515,ACB
2016-04-13,3490,3500,3440,3460,94770,ACB
2016-04-14,3440,3440,3360,3400,89740,ACB
2016-04-15,3490,3490,3400,3420,66580,ACB
2016-04-19,3480,3490,3400,3400,27773,ACB
2016-04-20,3440,3420,3360,3380,73200,ACB
2016-04-21,3380,3400,3360,3380,76583,ACB
2016-04-22,3340,3520,3390,3480,126434,ACB
2016-04-25,3440,3500,3430,3440,19229,ACB
2016-04-26,3440,3460,3420,3440,117712,ACB
2016-04-27,3460,3420,3370,3400,241006,ACB
2016-04-28,3440,3430,3370,3380,39419,ACB
2016-04-29,3380,3450,3390,3420,75474,ACB
2016-05-04,3380,3480,3400,3420,48056,ACB
2016-05-05,3380,3430,3370,3400,151701,ACB
2016-05-06,3420,3420,3390,3400,111028,ACB
2016-05-09,3400,3450,3390,3440,233846,ACB
2016-05-10,3460,3480,3400,3420,92709,ACB
2016-05-11,3420,3460,3400,3420,362991,ACB
2016-05-12,3440,3730,3510,3590,569423,ACB
2016-05-13,3590,3620,3510,3570,303678,ACB
2016-05-16,3550,3660,3580,3630,193462,ACB
2016-05-17,3630,3660,3580,3630,266987,ACB
2016-05-18,3610,3770,3560,3680,520514,ACB
2016-05-19,3680,3740,3670,3700,102855,ACB
2016-05-20,3630,3720,3620,3650,50349,ACB
2016-05-23,3610,3570,3490,3530,144346,ACB
2016-05-24,3530,3560,3520,3530,204898,ACB
2016-05-25,3530,3540,3490,3510,174731,ACB
2016-05-26,3530,3540,3470,3490,373996,ACB
2016-05-27,3490,3560,3520,3530,170308,ACB
2016-05-30,3550,3550,3510,3530,90100,ACB
2016-05-31,3590,3560,3480,3510,190183,ACB
2016-06-01,3570,3590,3530,3530,72389,ACB
2016-06-02,3510,3540,3500,3530,49600,ACB
2016-06-03,3530,3560,3500,3530,94742,ACB
2016-06-06,3530,3650,3550,3570,142834,ACB
2016-06-07,3570,3590,3570,3570,28025,ACB
2016-06-08,3570,3610,3550,3590,42707,ACB
2016-06-09,3590,3630,3590,3610,83647,ACB
2016-06-10,3590,3650,3600,3630,82355,ACB
2016-06-13,3610,3670,3600,3630,138648,ACB
2016-06-14,3630,3680,3630,3650,113252,ACB
2016-06-15,3650,3650,3630,3650,51430,ACB
2016-06-16,3650,3660,3620,3650,135735,ACB
2016-06-17,3630,3660,3640,3650,118867,ACB
2016-06-20,3630,3700,3670,3670,49716,ACB
2016-06-21,3650,3690,3650,3670,130676,ACB
2016-06-22,3630,3690,3650,3670,108886,ACB
2016-06-23,3630,3700,3660,3670,62511,ACB
2016-06-24,3630,3740,3510,3670,153703,ACB
2016-06-27,3510,3700,3560,3650,102503,ACB
2016-06-28,3550,3700,3630,3630,18644,ACB
2016-06-29,3570,3660,3600,3630,65672,ACB
2016-06-30,3630,3640,3600,3630,20698,ACB
2016-07-01,3570,3690,3610,3630,160733,ACB
2016-07-04,3570,3570,3510,3530,289840,ACB
2016-07-05,3530,3570,3500,3530,224536,ACB
2016-07-06,3530,3540,3500,3530,119879,ACB
2016-07-07,3530,3620,3540,3570,46124,ACB
2016-07-08,3570,3580,3540,3570,213318,ACB
2016-07-11,3550,3550,3510,3530,256181,ACB
2016-07-12,3530,3550,3510,3530,26771,ACB
2016-07-13,3530,3750,3580,3630,437147,ACB
2016-07-14,3630,3690,3600,3630,855293,ACB
2016-07-15,3680,3690,3610,3630,218899,ACB
2016-07-18,3590,3660,3580,3610,59135,ACB
2016-07-19,3610,3620,3470,3530,465733,ACB
2016-07-20,3530,3550,3510,3530,109114,ACB
2016-07-21,3550,3550,3480,3490,115206,ACB
2016-07-22,3490,3470,3440,3460,70617,ACB
2016-07-25,3460,3490,3430,3460,73600,ACB
2016-07-26,3460,3440,3390,3420,143345,ACB
2016-07-27,3420,3440,3400,3420,59291,ACB
2016-07-28,3440,3440,3400,3420,33402,ACB
2016-07-29,3420,3480,3430,3460,138157,ACB
2016-08-01,3440,3420,3370,3400,39056,ACB
2016-08-02,3400,3380,3320,3340,76750,ACB
2016-08-03,3340,3330,3290,3300,75348,ACB
2016-08-04,3340,3380,3320,3340,110262,ACB
2016-08-05,3340,3400,3350,3360,70318,ACB
2016-08-08,3360,3380,3340,3360,69544,ACB
2016-08-09,3360,3380,3340,3360,32488,ACB
2016-08-10,3380,3420,3380,3380,136283,ACB
2016-08-11,3380,3390,3370,3380,16038,ACB
2016-08-12,3400,3420,3370,3380,48499,ACB
2016-08-15,3360,3360,3330,3340,39933,ACB
2016-08-16,3340,3450,3350,3400,106540,ACB
2016-08-17,3400,3410,3370,3380,117280,ACB
2016-08-18,3380,3430,3360,3360,113815,ACB
2016-08-19,3360,3370,3350,3360,126316,ACB
2016-08-22,3340,3360,3340,3340,64989,ACB
2016-08-23,3340,3380,3350,3360,100523,ACB
2016-08-24,3360,3370,3330,3340,53493,ACB
2016-08-25,3360,3450,3390,3400,86057,ACB
2016-08-26,3340,3430,3360,3420,74750,ACB
2016-08-29,3420,3420,3400,3400,133815,ACB
2016-08-30,3400,3400,3400,3400,55861,ACB
2016-08-31,3420,3470,3430,3440,192835,ACB
2016-09-01,3440,3420,3400,3420,81398,ACB
2016-09-05,3400,3400,3380,3400,78738,ACB
2016-09-06,3400,3440,3420,3420,100607,ACB
2016-09-07,3400,3410,3370,3400,37441,ACB
2016-09-08,3380,3420,3380,3400,38923,ACB
2016-09-09,3300,3400,3300,3380,9453,ACB
2016-09-12,3360,3390,3350,3360,137291,ACB
2016-09-13,3340,3350,3320,3340,76695,ACB
2016-09-14,3340,3340,3300,3320,151529,ACB
2016-09-15,3300,3340,3290,3300,160591,ACB
2016-09-16,3260,3350,3290,3300,120039,ACB
2016-09-19,3280,3280,3240,3260,39590,ACB
2016-09-20,3260,3300,3240,3260,117888,ACB
2016-09-21,3260,3370,3260,3320,181530,ACB
2016-09-22,3340,3330,3290,3300,52251,ACB
2016-09-23,3280,3340,3300,3320,54315,ACB
2016-09-26,3320,3300,3260,3280,55181,ACB
2016-09-27,3260,3340,3280,3300,112486,ACB
2016-09-28,3280,3540,3340,3480,960835,ACB
2016-09-29,3490,3510,3480,3490,413417,ACB
2016-09-30,3490,3520,3470,3490,281903,ACB
2016-10-03,3510,3620,3430,3550,584999,ACB
2016-10-04,3550,3700,3550,3650,728172,ACB
2016-10-05,3650,3760,3650,3720,650032,ACB
2016-10-06,3740,3780,3700,3720,445683,ACB
2016-10-07,3680,3690,3550,3630,474856,ACB
2016-10-10,3630,3680,3600,3630,595489,ACB
2016-10-11,3630,3680,3600,3630,325562,ACB
2016-10-12,3650,3800,3640,3680,742105,ACB
2016-10-13,3670,3730,3680,3700,297562,ACB
2016-10-14,3700,3710,3670,3680,399942,ACB
2016-10-17,3670,3660,3640,3650,379894,ACB
2016-10-18,3650,3680,3650,3670,383550,ACB
2016-10-19,3670,3800,3690,3740,894546,ACB
2016-10-20,3740,3770,3690,3720,176834,ACB
2016-10-21,3720,3720,3690,3700,115481,ACB
2016-10-24,3680,3680,3600,3630,435877,ACB
2016-10-25,3630,3710,3630,3670,228430,ACB
2016-10-26,3670,3680,3640,3650,123409,ACB
2016-10-27,3650,3680,3650,3670,184931,ACB
2016-10-28,3650,3730,3660,3700,109185,ACB
2016-10-31,3680,3680,3600,3630,200973,ACB
2016-11-01,3630,3710,3660,3670,246218,ACB
2016-11-02,3650,3660,3620,3650,74747,ACB
2016-11-03,3650,3650,3600,3630,263536,ACB
2016-11-04,3630,3640,3620,3630,51973,ACB
2016-11-07,3630,3660,3620,3650,140965,ACB
2016-11-08,3650,3640,3620,3630,240477,ACB
2016-11-09,3630,3600,3410,3570,510554,ACB
2016-11-10,3570,3690,3600,3650,149865,ACB
2016-11-11,3650,3660,3620,3650,180044,ACB
2016-11-14,3650,3630,3620,3630,189722,ACB
2016-11-15,3670,3680,3640,3650,147050,ACB
2016-11-16,3650,3630,3590,3610,165430,ACB
2016-11-17,3630,3640,3630,3630,216720,ACB
2016-11-18,3630,3620,3600,3610,232504,ACB
2016-11-21,3650,3660,3620,3630,45941,ACB
2016-11-22,3650,3660,3640,3650,289066,ACB
2016-11-23,3650,3710,3670,3680,184640,ACB
2016-11-24,3680,3740,3700,3700,154688,ACB
2016-11-25,3650,3720,3670,3700,179786,ACB
2016-11-28,3700,3700,3620,3650,110554,ACB
2016-11-29,3630,3660,3640,3650,234984,ACB
2016-11-30,3630,3670,3630,3650,151350,ACB
2016-12-01,3700,3820,3710,3780,381829,ACB
2016-12-02,3780,3740,3640,3720,71031,ACB
2016-12-05,3740,3710,3650,3680,49063,ACB
2016-12-06,3720,3690,3550,3590,239780,ACB
2016-12-07,3590,3590,3480,3530,226091,ACB
2016-12-08,3610,3580,3500,3530,220042,ACB
2016-12-09,3550,3620,3530,3590,103048,ACB
2016-12-12,3590,3600,3550,3570,30478,ACB
2016-12-13,3570,3530,3450,3490,125191,ACB
2016-12-14,3530,3530,3440,3490,93783,ACB
2016-12-15,3570,3550,3470,3510,141933,ACB
2016-12-16,3570,3650,3560,3610,112809,ACB
2016-12-19,3660,3630,3550,3570,232663,ACB
2016-12-20,3590,3600,3560,3570,273119,ACB
2016-12-21,3590,3880,3650,3760,939567,ACB
2016-12-22,3760,3790,3680,3740,430272,ACB
2016-12-23,3680,3720,3600,3630,390028,ACB
2016-12-26,3660,3800,3690,3740,142239,ACB
2016-12-27,3680,3690,3610,3660,320223,ACB
2016-12-28,3700,3680,3660,3680,220675,ACB
2016-12-29,3660,3730,3620,3700,398898,ACB
2016-12-30,3720,3740,3680,3700,132554,ACB
2017-01-03,3720,4080,3800,3990,1609757,ACB
2017-01-04,3990,4059,3960,4010,739000,ACB
2017-01-04,3990,4059,3960,4010,739000,ACB
2017-01-05,4030,4059,3970,4010,471881,ACB
2017-01-06,4010,4420,3990,4220,1409824,ACB
2017-01-09,4220,4430,4260,4370,970791,ACB
2017-01-10,4370,4470,4300,4410,942499,ACB
2017-01-11,4370,4590,4380,4540,1447461,ACB
2017-01-12,4520,4650,4460,4540,1158392,ACB
2017-01-13,4500,4610,4440,4520,1230784,ACB
2017-01-16,4520,4620,4520,4580,575469,ACB
2017-01-17,4620,4950,4650,4830,1398174,ACB
2017-01-18,4830,4920,4760,4850,1360520,ACB
2017-01-19,4850,4910,4760,4830,542576,ACB
2017-01-20,4830,4920,4780,4850,614473,ACB
2017-01-23,4850,4900,4750,4810,867359,ACB
2017-01-24,4810,5040,4790,4940,722901,ACB
2017-01-25,4920,5020,4910,4960,437171,ACB
2017-02-02,4960,5070,4860,5000,693910,ACB
2017-02-03,5000,5140,4990,5080,1124649,ACB
2017-02-06,5080,5030,4870,4960,1767267,ACB
2017-02-07,5000,5070,4900,4980,820988,ACB
2017-02-08,4980,5060,4930,4980,627023,ACB
2017-02-09,4980,5000,4960,4980,480866,ACB
2017-02-10,4980,5060,4980,5020,2354611,ACB
2017-02-13,5060,5040,4870,4940,1102014,ACB
2017-02-14,4940,4980,4900,4940,630201,ACB
2017-02-15,4940,4930,4830,4890,1719050,ACB
2017-02-16,4920,4830,4660,4770,1657991,ACB
2017-02-17,4730,4800,4700,4770,886909,ACB
2017-02-20,4770,4840,4730,4770,1208009,ACB
2017-02-21,4770,4800,4740,4770,992334,ACB
2017-02-22,4770,4800,4680,4750,890701,ACB
2017-02-23,4750,4780,4710,4750,599354,ACB
2017-02-24,4770,4870,4660,4770,2041146,ACB
2017-02-27,4770,4860,4790,4810,652055,ACB
2017-02-28,4830,4860,4780,4810,493768,ACB
2017-03-01,4790,4830,4700,4750,947826,ACB
2017-03-02,4750,4780,4690,4730,356057,ACB
2017-03-03,4730,4900,4730,4790,658085,ACB
2017-03-06,4810,4840,4730,4750,767074,ACB
2017-03-07,4790,4800,4710,4730,342874,ACB
2017-03-08,4730,5030,4670,4890,3300268,ACB
2017-03-09,4890,4960,4830,4920,2499511,ACB
2017-03-10,4890,5020,4870,4980,3996520,ACB
2017-03-13,4980,4910,4740,4810,3149747,ACB
2017-03-14,4810,4850,4740,4790,1043292,ACB
2017-03-15,4790,4970,4740,4850,1841218,ACB
2017-03-16,4870,4910,4840,4870,1849057,ACB
2017-03-17,4920,5100,4810,4920,5329369,ACB
2017-03-20,4940,5080,4960,5020,5125254,ACB
2017-03-21,5060,5350,5110,5250,10618307,ACB
2017-03-22,5250,5330,5180,5250,4597625,ACB
2017-03-23,5250,5280,5170,5230,3086794,ACB
2017-03-24,5230,5460,5220,5360,7262960,ACB
2017-03-27,5360,5420,5210,5290,4647682,ACB
2017-03-28,5290,5260,5120,5190,3883267,ACB
2017-03-29,5210,5250,5120,5170,4693967,ACB
